streetAddress,city,borough,state,postalcode,full_address,beds,baths,size_sqft,size_sqft_int,unit,size_sqft_2,size_sqft_2_int,unit_2,price,walk_score,bike_score,price_num,crime_rate,complaint_rate
31 E 92nd St,Brooklyn,queens,NY,11212,"31 E 92nd St, Brooklyn, NY 11212",4,2,"
 2,024 sqft",2024,sqft,"
 2,200 sqft lot",2200,sqftlot,"$499,999 ",44,58,499999,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
801 Thomas S Boyland St,Brownville,queens,NY,11212,"801 Thomas S Boyland St, Brownville, NY 11212",7,3,"
 3,180 sqft",3180,sqft,"
 2,500 sqft lot",2500,sqftlot,"$750,000 ",44,58,750000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
553 Saratoga Ave,Brooklyn,queens,NY,11212,"553 Saratoga Ave, Brooklyn, NY 11212",4,1.5,"
 1,640 sqft",1640,sqft,"
 2,000 sqft lot",2000,sqftlot,"$425,000 ",44,58,425000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
285 Rockaway Pkwy,Brooklyn,queens,NY,11212,"285 Rockaway Pkwy, Brooklyn, NY 11212",7,4,"
 3,198 sqft",3198,sqft,"
 2,750 sqft lot",2750,sqftlot,"$999,000 ",44,58,999000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
567 E 96th St,Brooklyn,queens,NY,11212,"567 E 96th St, Brooklyn, NY 11212",7,3,"
 3,000 sqft lot",3000,sqftlot,"
 2 car",,,"$949,000 ",44,58,949000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
149 Watkins St,Brooklyn,queens,NY,11212,"149 Watkins St, Brooklyn, NY 11212",9,6,"
 3,750 sqft",3750,sqft,"
 2,458 sqft lot",2458,sqftlot,"$879,000 ",44,58,879000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
509 Bristol St,Brooklyn,queens,NY,11212,"509 Bristol St, Brooklyn, NY 11212",8,5,"
 2,920 sqft",2920,sqft,"
 2,600 sqft lot",2600,sqftlot,"$899,000 ",44,58,899000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
517 Christopher Ave,Brooklyn,queens,NY,11212,"517 Christopher Ave, Brooklyn, NY 11212",3,2,"
 1,116 sqft",1116,sqft,"
 1,800 sqft lot",1800,sqftlot,"$519,999 ",44,58,519999,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
33 Legion St,Brooklyn,queens,NY,11212,"33 Legion St, Brooklyn, NY 11212",3,1.5,"
 1,116 sqft",1116,sqft,"
 1,800 sqft lot",1800,sqftlot,"$450,000 ",44,58,450000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
497 E 94th St,Brooklyn,queens,NY,11212,"497 E 94th St, Brooklyn, NY 11212",5,2,"
 2,000 sqft lot",2000,sqftlot,"
",,,"$499,000 ",44,58,499000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
2044 Strauss St,Brooklyn,queens,NY,11212,"2044 Strauss St, Brooklyn, NY 11212",7,2,"
 2,240 sqft",2240,sqft,"
 2,500 sqft lot",2500,sqftlot,"$425,000 ",44,58,425000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
665 Mother Gaston Blvd,Brooklyn,queens,NY,11212,"665 Mother Gaston Blvd, Brooklyn, NY 11212",3,2.5,"
 1,800 sqft lot",1800,sqftlot,"
",,,"$469,000 ",44,58,469000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
